sample,reads_raw,reads_trimmed,reads_mapped,coverage,mean_depth,reference
HC6A,71717.0,65929.0,3997.0,99.0661,26.4893,NC_009942.1
HC6A,71717.0,65929.0,0.0,0.0,0.0,NC_012532.1
